id,collectible,slug,classId,multiClassIds,cardTypeId,cardSetId,rarityId,artistName,health,attack,manaCost,name,text,image,imageGold,flavorText,cropImage,keywordIds,copyOfCardId,duels,childIds,spellSchoolId,minionTypeId,durability,armor
69649,1,69649-abusive-sergeant,12,[],4,1637,1,Luca Zontini,1.0,1.0,1,Abusive Sergeant,<b>Battlecry:</b> Give a minion +2 Attack this turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c6827a9f7505da9879c73fa0b4e102e862a8b64ca92b9a6545b2a76166de2823.png,,"ADD ME TO YOUR DECK, MAGGOT!",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c10df6994599819f7a22e8ffc9a3779ecfc0f76d5c499e4c299aae5c7fa9bcc8.png,[8],242.0,"{'relevant': True, 'constructed': True}",,,,,
60003,1,60003-ace-hunter-kreen,14,"[14, 3]",4,1443,5,James Ryman,4.0,2.0,3,Ace Hunter Kreen,Your other characters are <b>Immune</b> while attacking.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69c8d0969e25e0318eff0d9fec92b284e0037a99453d0ad99f2a92c6cd25a5b2.png,,This grandmaster marksman loves winning tournaments and eating a bit of ice cream.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e3d10913c2c95ac813aa30f68d18317503d306f941ef3cdcd76a7ee0cbdb094.png,[17],,"{'relevant': True, 'constructed': True}",,,,,
69548,1,69548-acidic-swamp-ooze,12,[],4,1637,3,Chris Rahn,2.0,3.0,2,Acidic Swamp Ooze,<b>Battlecry:</b> Destroy your opponent's weapon.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5de6966257bee15ed6d8eeccf07f4fcb51b5c6fb75d7a66b57e604126d46901c.png,,Oozes love Flamenco. Don't ask.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b5fb6aa536272119249e5ef25ecc1338e838115d5bedcf7f443895c5a0522d51.png,[8],906.0,"{'relevant': True, 'constructed': True}",,,,,
61273,1,61273-acrobatics,14,[],5,1466,1,James Ryman,,,3,Acrobatics,"Draw 2 cards. If you play both this turn, draw 2 more.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/80c95f2a729f70c2706a86fe1ccdc0f830eb86aab7d76798f0a6b14b8ab963fd.png,,He soars through the air with the greatest of fleas.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69f4a3c44e797c10712140a34942b52cbb70246ce7f8d39e59f1481f409bd025.png,,,"{'relevant': True, 'constructed': True}",,,,,
59705,1,59705-adorable-infestation,3,"[3, 2]",5,1443,1,Ivan Fomin,,,1,Adorable Infestation,Give a minion +1/+1. Summon a 1/1 Cub. Add a Cub to your hand.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f724206bcbe37695417d0a0282c05d9c6f4825afafc1a67e56428d34a19b5522.png,,Some cards are strong by sheer power; others draw strength from love.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ee870a4a127e5b15a908e23776b19b9879760b2adc83abee5e1b9fdd6ddb830.png,,,"{'relevant': True, 'constructed': True}",[59706],,,,
62347,1,62347-aegwynn-the-guardian,4,[],4,1637,5,Luke Mancini,5.0,5.0,5,"Aegwynn, the Guardian",<b>Spell Damage +2</b> <b>Deathrattle:</b> The next minion you draw inherits these powers.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f161b55a8866ce595a34b65351065f1fd65f4d612da13b21ad4bb15db0513615.png,,"With Medivh as her son, nothing YOU do could ever disappoint her.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a16ec7f2104a339db5b846b03e67a1d2a3336efd2d602a444d9626862a2b5705.png,"[2, 12]",,"{'relevant': True, 'constructed': True}",,,,,
63347,1,63347-against-all-odds,6,[],5,1525,4,Zoltan Boros,,,5,Against All Odds,Destroy ALL odd-Attack minions.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a6c9ffb527bf269e30d5c5e7cf86c9cea6e36f297a3ba27bb073b3b48f543b25.png,,Time to EVEN out the playing field.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/357812123c2ec833019e40ea492b4f566cede187ada760d17dd92d7d2b650180.png,,,"{'relevant': True, 'constructed': True}",,5.0,,,
64631,1,64631-aimed-shot,3,[],5,1578,1,Aaron Su,,,3,Aimed Shot,Deal 3 damage. Your next Hero Power deals 2 more damage.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cab09686ff33ad442f7b8a1e187e2e798868f4a7663fdc721a2cfc2c62a602ba.png,,"Wait, you WEREN'T aiming before?!",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bca72d5a7dabc8e693a7e4bc4bcafce49cff400c1ebedbbfe40e440f842fd9dd.png,,,"{'relevant': True, 'constructed': True}",,,,,
56530,1,56530-akama,7,[],4,1414,5,James Ryman,4.0,3.0,3,Akama,<b>Stealth</b> <b>Deathrattle:</b> Shuffle 'Akama Prime' into your deck.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e768afcb6eddf2c4ae09a336fcdc9973d92033566b10067f9eacb0b9738e8c8.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2de8b637b4b6a25f02138b8a62c56091b4b3dfd43769c0800344e102c09820ee.png,"""To many of my people, I am known as a traitor... as Illidan's lapdog. I will remain in the shadows, for now... Actually, maybe I'll just remain in the shadows forever.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b30a22671ad3c18de942e777344256f1d36bd269726eec5f1a5ac17aefcafc9c.png,"[6, 12]",,,[57156],,,,
69632,1,69632-alakir-the-windlord,8,[],4,1637,5,Raymond Swanland,6.0,3.0,8,Al'Akir the Windlord,"<b>Charge, Divine Shield, Taunt, Windfury</b>",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f9caf5a41edcb32af59b47baec7ee8caa33f0f9deefafffed9193f0e66be456a.png,,He is the weakest of the four Elemental Lords. And the other three don't let him forget it.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7b480b37e82db941960fbb6749574d1a8e74b3cfa2768a8a236f77fdcf78b93e.png,"[1, 3, 4, 11]",32.0,"{'relevant': True, 'constructed': True}",,,18.0,,
57195,1,57195-alar,12,[],4,1414,5,Jakub Kasper,3.0,7.0,5,Al'ar,<b>Deathrattle</b>: Summon a 0/3 Ashes of Al'ar that resurrects this minion on your next turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4c771dffe1ba50a6a3b4fb0124df4910d24e645bac473e216e87a6a1a8d5fe00.png,,Week 679: Still no mount...,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/25e52cb87f730908220027deeef696b0cba18697498781c4b3b23a1630b76b14.png,[12],,,[57982],,18.0,,
56445,1,56445-aldor-attendant,5,[],4,1414,1,Anton Zemskov,3.0,1.0,1,Aldor Attendant,<b>Battlecry:</b> Reduce the Cost of your Librams by (1) this game.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/41a27d9b03af154ce39f47c53d9022359666ba278dfce64802008756d883ba1a.png,,Will check to make sure you have a valid libramary card.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/485df6ad8ae29fe338a32ae26a62b1d05ac5fd31829492b2641f0a21a0dff705.png,[8],,,"[56394, 56554, 56555, 57471, 57738]",,,,
69612,1,69612-aldor-peacekeeper,5,[],4,1637,3,Dany Orizio,3.0,3.0,3,Aldor Peacekeeper,<b>Battlecry:</b> Change an enemy minion's Attack to 1.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ea31fd9ddb9dae7243423e38b4bb48db9d65bf6adaeb4598fd6b47005a361f4.png,,The Aldor hate two things: the Scryers and smooth jazz.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9662e2241c0b59834ccc2c11d5b454eb42fa47b00ff7951688e52c171d04c4fb.png,[8],1167.0,"{'relevant': True, 'constructed': True}",,,,,
56556,1,56556-aldor-truthseeker,5,[],4,1414,3,Mauricio Herrera,6.0,4.0,5,Aldor Truthseeker,<b>Taunt</b>. <b>Battlecry:</b> Reduce the Cost of your Librams by (2) this game.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/18dcfec72ef2dec44217aea899c22c2f77f8e86ae64d38b53caaffd668888adb.png,,It’s under 'T.',https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b2fd7450501b9358ff85c3465005286aeb77d180e33e3911a09321d0fa110e3.png,"[1, 8]",,,"[56394, 56554, 56555, 57471, 57738]",,,,
69507,1,69507-aldrachi-warblades,14,[],7,1637,1,J. Axer,,2.0,3,Aldrachi Warblades,<b>Lifesteal</b>,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d70991e8ccd946161592ccbe33949bde108cf1073e70ae1746d579820303c76e.png,,The ancient Aldrachi were the greatest warriors in the universe. Imagine their power if they'd put the handle at the END of the blade.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7f1196c89e05eb6b60b079491a9874d16717b4fd2a15b97f1bb96288628d72c.png,[38],56583.0,"{'relevant': True, 'constructed': True}",,,,2.0,
66864,1,66864-alexstrasza-the-life-binder,12,[],4,1637,5,Zoltan Boros,8.0,8.0,9,Alexstrasza the Life-Binder,"<b>Battlecry</b>: Choose a character. If it's friendly, restore 8 Health. If it's an enemy, deal 8 damage.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/62d82213189913c7353c916a8487c3fb72059317d4f5524cdcc90546272cbe62.png,,Friendly Fire: Off,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3cf60af8c1091a522b89fbcba93daeeb2607199181dc5fd7c45a0ad79d3ab4ae.png,[8],,"{'relevant': True, 'constructed': True}",,,24.0,,
64368,1,64368-alliance-bannerman,5,[],4,1578,1,Vladimir Kafanov,2.0,2.0,3,Alliance Bannerman,<b>Battlecry:</b> Draw a minion. Give minions in your hand +1/+1.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3af07fe2843291c456fb25e72621a86487b54621467efb4d96a33e68eb730196.png,,"Back in my day, we had to carry our inspiration uphill both ways to war.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/73c0d5e909191172543a614eac9a48c2751d2366d8e8a3cb07b4b91b9aa24a2a.png,[8],,"{'relevant': True, 'constructed': True}",,,,,
63211,1,63211-altar-of-fire,9,[],5,1525,4,Evgeniy Dlinnov,,,1,Altar of Fire,Destroy the top 3 cards of each deck.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bea9ab69a1299cafb6a34c652e2a18f46fc139c5df8992ddc5b8e7931d6cf320.png,,"""I now pronounce you, Crispy and Fried.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/259adbe3df7f138b0908d067d371c477ec521fecf385b24eae643dc89abf552d.png,,,"{'relevant': True, 'constructed': True}",,2.0,,,
56524,1,56524-ambush,7,[],5,1414,3,Vladimir Kafanov,,,2,Ambush,"<b>Secret:</b> After your opponent plays a minion, summon a 2/3 Ambusher with <b>Poisonous</b>.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/39b3633cb93c50bb70ca4e243566f702a1ca09996f3132d8a4f767042bcd8418.png,,Clip-clop clip-clop CLIP-CLOP STAB!,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/471db33165a00cf1c3d0501ced202d68f22090a36ff8001394a52ecb39a12048.png,"[5, 32]",,,[57218],,,,
65676,1,65676-amulet-of-undying,6,[],5,1578,1,Ivan Fomin,,,3,Amulet of Undying,"<b>Tradeable</b> Resurrect friendly <b>Deathrattle</b> (minion, minions). <i>(Upgrades when <b>Traded</b>!)</i>",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d0d9fd8b5d4c9f644617f1fedec4a1400bde1abc9768adb1a3b2eba7a0350e4c.png,,Didn't seem to work out too well for this guy.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7b3a1c8264b0a3ad5aa350bd0f992c47b460bb16d50d154bc9b0a7bfc8f48c5a.png,"[12, 97]",,"{'relevant': True, 'constructed': True}",,6.0,,,
